invoice_date,invoice_number,location_zip,total,completion_date
2021-06-23,26363091,80907.0,2141.5,2021-06-23
2021-07-06,26363129,80906.0,628.0,2021-07-06
2021-06-24,26363603,80907.0,154.0,2021-06-24
2021-07-02,26365395,80907.0,84.0,2021-07-02
2021-07-02,26366932,80132.0,965.0,2021-07-02
2021-07-02,26367071,80906.0,611.0,2021-07-02
2021-07-02,26367100,80921.0,49.0,2021-07-02
2021-07-02,26367317,80921.0,597.0,2021-07-02
2021-07-06,26369492,80922.0,783.95,2021-07-06
2021-06-29,26371066,80920.0,0.0,2021-06-29
2021-06-22,26371155,80921.0,98.0,2021-06-22
2021-06-21,26371287,80132.0,150.0,2021-06-21
2021-07-06,26371539,80909.0,583.0,2021-07-06
2021-07-02,26373971,80916.0,187.0,2021-07-02
2021-07-02,26374099,80908.0,282.0,2021-07-02
2021-07-02,26375510,80911.0,0.0,2021-07-02
2021-07-07,26386595,80921.0,162.0,2021-07-07
2021-06-29,26386778,80132.0,664.4,2021-06-29
2021-07-06,26386907,80903.0,207.0,2021-07-06
2021-07-07,26386922,80923.0,542.95,2021-07-07
2021-06-21,26387166,80132.0,0.0,2021-06-21
2021-06-23,26387420,80921.0,192.0,2021-06-23
2021-07-02,26389097,80909.0,198.0,2021-07-02
2021-06-22,26389113,80905.0,0.0,2021-06-22
2021-07-07,26389336,80908.0,49.0,2021-07-07
2021-07-01,26389462,80904.0,190.0,2021-07-01
2021-06-28,26389608,80921.0,154.0,2021-06-28
2021-06-28,26390365,80925.0,192.0,2021-06-28
2021-06-22,26392020,80132.0,0.0,2021-06-22
2021-06-23,26395170,80920.0,49.0,2021-06-23
2021-07-07,26395481,80921.0,255.0,2021-07-07
2021-07-02,26395603,80132.0,514.0,2021-07-02
2021-06-28,26395622,80915.0,247.95,2021-06-28
2021-07-02,26396627,80920.0,152.0,2021-07-02
2021-07-06,26396646,80919.0,383.0,2021-07-06
2021-06-22,26396684,80907.0,0.0,2021-06-22
2021-06-24,26397272,80907.0,94.0,2021-06-24
2021-07-06,26398045,80106.0,1961.0,2021-07-06
2021-07-06,26398805,80921.0,128.0,2021-07-06
2021-06-30,26399063,80920.0,630.0,2021-06-30
2021-07-07,26399075,80922.0,84.0,2021-07-07
2021-07-07,26399443,80906.0,0.0,2021-07-07
2021-07-07,26399707,80910.0,199.0,2021-07-07
2021-06-29,26399722,80915.0,3370.4,2021-06-29
2021-06-29,26400467,80919.0,0.0,2021-06-29
2021-06-22,26400481,80919.0,49.0,2021-06-22
2021-07-06,26401371,80909.0,49.0,2021-07-06
2021-07-07,26401384,80817.0,79.0,2021-07-07
2021-06-23,26401403,80923.0,636.0,2021-06-23
2021-07-06,26402006,80923.0,128.0,2021-07-06
2021-07-02,26402277,80921.0,457.4,2021-07-02
2021-06-25,26402387,80910.0,49.0,2021-06-25
2021-07-06,26402401,80925.0,49.0,2021-07-06
2021-07-06,26402414,80919.0,493.0,2021-07-06
2021-06-23,26402776,80906.0,0.0,2021-06-23
2021-06-25,26403160,80903.0,49.0,2021-06-25
2021-06-21,26403923,80921.0,163.0,2021-06-21
2021-07-07,26404695,80906.0,163.0,2021-07-07
2021-06-23,26405459,80906.0,69.0,2021-06-23
2021-06-22,26413272,80916.0,0.0,2021-06-22
2021-07-07,26413286,80920.0,0.0,2021-07-07
2021-06-25,26413784,80921.0,402.0,2021-06-25
2021-06-23,26419030,80920.0,229.0,2021-06-23
2021-06-25,26425299,80904.0,49.0,2021-06-25
2021-07-13,26435606,80918.0,1230.4,2021-07-13
2021-07-07,26436314,80919.0,182.0,2021-07-07
2021-06-24,26436563,80920.0,0.0,2021-06-24
2021-07-07,26436691,80817.0,84.0,2021-07-07
2021-06-24,26436978,80906.0,331.0,2021-06-24
2021-07-08,26437727,80906.0,624.0,2021-07-08
2021-07-07,26438996,80831.0,167.4,2021-07-07
2021-07-07,26439642,80831.0,0.0,2021-07-07
2021-06-22,26440531,80909.0,0.0,2021-06-22
2021-07-07,26441088,80920.0,422.95,2021-07-07
2021-07-07,26441443,80817.0,498.4,2021-07-07
2021-07-06,26441558,80922.0,167.4,2021-07-06
2021-07-15,26442075,80923.0,138.0,2021-07-15
2021-06-26,26442584,80906.0,0.0,2021-06-26
2021-07-12,26443224,80919.0,0.0,2021-07-12
2021-07-08,26443479,80919.0,520.0,2021-07-08
2021-06-28,26443635,80919.0,7524.5,2021-06-28
2021-06-25,26444389,80920.0,285.0,2021-06-25
2021-06-23,26445780,80906.0,0.0,2021-06-23
2021-07-12,26452307,80920.0,593.0,2021-07-12
2021-06-24,26475476,80903.0,0.0,2021-06-24
2021-07-12,26476371,80907.0,84.0,2021-07-12
2021-06-23,26477524,80923.0,167.4,2021-06-23
2021-09-28,26477524-1,80923.0,-83.7,2021-06-23
2021-07-08,26478035,80831.0,375.0,2021-07-08
2021-06-25,26478678,80916.0,300.0,2021-06-25
2021-07-08,26479070,80106.0,95.0,2021-07-08
2021-07-07,26480470,80925.0,0.0,2021-07-07
2021-07-07,26480979,80918.0,350.0,2021-07-07
2021-07-06,26481107,80920.0,398.0,2021-07-06
2021-07-01,26481372,80922.0,407.0,2021-07-01
2021-06-24,26482515,80133.0,0.0,2021-06-24
