,population,median_age,median_home_age,median_home_value,median_income,owner_occ,zip
475,5652.0,45.2,1994.0,627000.0,82311.0,3697.0,81621
476,2695.0,42.1,1979.0,231100.0,63800.0,1909.0,81639
477,313.0,28.1,1974.0,123200.0,44688.0,160.0,81071
478,721.0,32.2,1949.0,93100.0,53750.0,470.0,81076
479,15153.0,31.2,1978.0,158800.0,37130.0,8878.0,81101
480,31849.0,40.4,1999.0,221700.0,71553.0,26085.0,81007
481,902.0,51.4,1977.0,96800.0,37031.0,655.0,81020
482,1624.0,40.2,1978.0,164700.0,46250.0,1317.0,81022
483,314.0,49.4,1952.0,74500.0,40469.0,208.0,81029
484,51.0,57.4,1963.0,78800.0,45000.0,46.0,81045
485,1473.0,40.0,1955.0,87100.0,41504.0,1023.0,81047
486,9028.0,37.4,1968.0,108500.0,42533.0,5676.0,81052
487,391.0,47.1,1971.0,153800.0,53750.0,294.0,81057
488,4467.0,54.7,1960.0,116900.0,33167.0,3008.0,81089
489,21273.0,38.1,1998.0,517200.0,110754.0,13749.0,80124
490,10548.0,41.7,1997.0,457700.0,132905.0,9931.0,80125
491,21392.0,32.7,1963.0,360900.0,55798.0,4789.0,80203
492,37087.0,34.1,1954.0,610600.0,95225.0,22099.0,80210
493,35627.0,34.9,1948.0,515700.0,84773.0,20175.0,80211
494,19385.0,33.7,1956.0,418000.0,67639.0,7250.0,80218
495,42103.0,34.4,1961.0,286700.0,63318.0,24878.0,80221
496,18941.0,38.3,1971.0,398200.0,65276.0,10501.0,80224
497,22705.0,39.7,1971.0,329000.0,69949.0,16035.0,80232
498,13433.0,31.8,1977.0,435900.0,56954.0,3163.0,80246
499,4576.0,47.0,1979.0,549900.0,101569.0,3975.0,80540
500,4918.0,35.2,2001.0,370000.0,98064.0,4728.0,80542
501,7344.0,36.9,2000.0,278500.0,80083.0,6123.0,80543
502,42807.0,31.4,1965.0,243300.0,42837.0,15311.0,80010
503,13397.0,34.6,2005.0,370300.0,105543.0,11078.0,80018
504,5847.0,46.9,1998.0,402200.0,111594.0,5610.0,80106
505,13474.0,43.1,1994.0,474600.0,106506.0,12195.0,80107
506,69163.0,36.5,2001.0,448300.0,115031.0,57925.0,80134
507,4038.0,50.4,1985.0,638000.0,111176.0,3576.0,80135
508,33571.0,40.1,1996.0,467800.0,121716.0,28672.0,80138
509,33597.0,34.7,1972.0,346300.0,63772.0,18355.0,80226
510,36861.0,34.4,1980.0,340700.0,58982.0,12523.0,80231
511,19622.0,29.4,1999.0,216700.0,55254.0,12156.0,80620
519,465.0,53.3,1997.0,280200.0,48750.0,324.0,81242
520,8157.0,44.3,1991.0,395700.0,70275.0,5767.0,81303
521,11412.0,47.5,1991.0,308600.0,62633.0,9309.0,81403
523,14953.0,50.8,1985.0,336400.0,85007.0,12900.0,81507
